Date,Vegetable,Price,Location,Farmer
2023-01-01,Tomato,22.16,Kodambakkam,Farmer E
2023-01-01,Potato,18.32,Tambaram,Farmer A
2023-01-01,Onion,31.67,T. Nagar,Farmer B
2023-01-01,Carrot,26.64,Chromepet,Farmer H
2023-01-01,Cabbage,21.77,Chromepet,Farmer D
2023-01-01,Spinach,8.03,Anna Nagar,Farmer B
2023-01-01,Cauliflower,23.55,Chromepet,Farmer G
2023-01-01,Broccoli,38.27,T. Nagar,Farmer B
2023-01-01,Eggplant,23.55,Kodambakkam,Farmer E
2023-01-01,Capsicum,42.26,Thiruvanmiyur,Farmer E
2023-01-02,Tomato,16.26,Velachery,Farmer H
2023-01-02,Potato,17.34,Chromepet,Farmer H
2023-01-02,Onion,33.77,Potheri,Farmer I
2023-01-02,Carrot,27.9,Velachery,Farmer J
2023-01-02,Cabbage,18.26,Guindy,Farmer F
2023-01-02,Spinach,9.54,Tambaram,Farmer C
2023-01-02,Cauliflower,17.9,Guindy,Farmer B
2023-01-02,Broccoli,39.69,Guindy,Farmer H
2023-01-02,Eggplant,26.49,Guindy,Farmer A
2023-01-02,Capsicum,35.06,Adyar,Farmer I
2023-01-03,Tomato,17.09,Kodambakkam,Farmer E
2023-01-03,Potato,16.37,Velachery,Farmer E
2023-01-03,Onion,27.81,Tambaram,Farmer E
2023-01-03,Carrot,25.4,T. Nagar,Farmer I
2023-01-03,Cabbage,14.09,Tambaram,Farmer H
2023-01-03,Spinach,10.17,Chromepet,Farmer G
2023-01-03,Cauliflower,26.95,T. Nagar,Farmer F
2023-01-03,Broccoli,33.22,Guindy,Farmer J
2023-01-03,Eggplant,26.46,Anna Nagar,Farmer F
2023-01-03,Capsicum,37.44,Velachery,Farmer I
2023-01-04,Tomato,24.02,T. Nagar,Farmer J
2023-01-04,Potato,19.02,Tambaram,Farmer F
2023-01-04,Onion,33.68,Thiruvanmiyur,Farmer E
2023-01-04,Carrot,20.17,Kodambakkam,Farmer H
2023-01-04,Cabbage,14.86,T. Nagar,Farmer C
2023-01-04,Spinach,14.5,Adyar,Farmer C
2023-01-04,Cauliflower,21.73,Thiruvanmiyur,Farmer H
2023-01-04,Broccoli,33.37,Potheri,Farmer J
2023-01-04,Eggplant,23.45,Anna Nagar,Farmer J
2023-01-04,Capsicum,41.03,Velachery,Farmer C
2023-01-05,Tomato,22.22,Tambaram,Farmer F
2023-01-05,Potato,10.18,Potheri,Farmer J
2023-01-05,Onion,28.14,Guindy,Farmer A
2023-01-05,Carrot,28.75,Potheri,Farmer D
2023-01-05,Cabbage,13.63,Velachery,Farmer J
2023-01-05,Spinach,8.59,Kodambakkam,Farmer D
2023-01-05,Cauliflower,25.66,Adyar,Farmer C
2023-01-05,Broccoli,30.9,Potheri,Farmer H
2023-01-05,Eggplant,27.43,Anna Nagar,Farmer J
2023-01-05,Capsicum,40.22,Adyar,Farmer I
2023-01-06,Tomato,15.06,Adyar,Farmer G
2023-01-06,Potato,18.42,Thiruvanmiyur,Farmer G
2023-01-06,Onion,31.3,Adyar,Farmer B
2023-01-06,Carrot,20.39,Thiruvanmiyur,Farmer G
2023-01-06,Cabbage,16.98,T. Nagar,Farmer G
2023-01-06,Spinach,13.68,Tambaram,Farmer I
2023-01-06,Cauliflower,20.5,Thiruvanmiyur,Farmer C
2023-01-06,Broccoli,35.47,Velachery,Farmer H
2023-01-06,Eggplant,30.64,Thiruvanmiyur,Farmer A
2023-01-06,Capsicum,35.21,Anna Nagar,Farmer C
2023-01-07,Tomato,20.22,Anna Nagar,Farmer D
2023-01-07,Potato,13.56,Guindy,Farmer B
2023-01-07,Onion,27.04,Adyar,Farmer E
2023-01-07,Carrot,28.21,Velachery,Farmer G
2023-01-07,Cabbage,19.91,Adyar,Farmer H
2023-01-07,Spinach,9.71,Adyar,Farmer J
2023-01-07,Cauliflower,26.56,Guindy,Farmer H
2023-01-07,Broccoli,36.41,Thiruvanmiyur,Farmer J
2023-01-07,Eggplant,30.38,T. Nagar,Farmer B
2023-01-07,Capsicum,38.02,T. Nagar,Farmer G
2023-01-08,Tomato,20.98,Guindy,Farmer F
2023-01-08,Potato,19.12,Chromepet,Farmer I
